title,outlet,date,url,category,covers_black_stops,covers_hispanic_stops,covers_immigration_ice,covers_287g,covers_search_rates,covers_arrest_rates,covers_contraband,covers_disparity_index,covers_agency_level,covers_discretionary_stops,primary_focus,what_it_does_not_cover
Traffic stop data show no change in disparities,Jefferson City News-Tribune,2023-06-10,https://www.newstribune.com/news/2023/jun/10/traffic-stop-data-show-no-change-in-disparities/,VSR coverage,yes,no,no,no,no,no,no,yes,yes,no,Jefferson City and Cole County Black-white disparities unchanged,Hispanic trends; statewide context; discretionary stops
"Sheriff police chief reflect on vehicle stops report data",Jefferson City News-Tribune,2023-06-17,https://www.newstribune.com/news/2023/jun/17/sheriff-police-chief-reflect-on-vehicle-stops/,VSR coverage,yes,no,no,no,no,no,no,yes,yes,no,Local law enforcement response to VSR data in Jefferson City area,Hispanic trends; statewide context; discretionary stops
Attorney General releases traffic stop racial profiling data for 2016,KRCG,2017-06-01,https://krcgtv.com/news/local/attorney-general-releases-traffic-stop-racial-profiling-data-for-2016,VSR coverage,yes,mentions search rate,no,no,yes,no,yes,yes,no,no,"2016 VSR data; Black-white disparity. Notes Hispanic 1.52× search rate but doesn't investigate",Hispanic stop trends; per-capita analysis; discretionary stops
"It's time to reform Missouri's racial profiling law",ACLU,2018-01-01,https://action.aclu.org/petition/mo_racial_profiling_law,Advocacy,yes,no,no,no,no,no,no,yes,no,no,Petition for Fourth Amendment Affirmation Act,Hispanic trends; any data analysis; enforcement patterns
"Reform Racial Profiling: The Fourth Amendment Affirmation Act",ACLU of Missouri,2018-01-01,https://www.aclu-mo.org/legislation/reform-racial-profiling-fourth-amendment-affirmation-act/,Advocacy,yes,no,no,no,no,no,no,yes,no,no,Legislative proposal for consequences for racial profiling,Hispanic trends; any data analysis
"What's it like to be racially profiled?",ACLU of Missouri,2017-01-01,https://www.aclu-mo.org/news/whats-it-be-racially-profiled-0/,Advocacy,yes,no,no,no,no,no,no,no,no,no,Personal narratives of racial profiling,Hispanic perspectives; traffic stop data
"Fiscal Pressures and Discriminatory Policing: Evidence from Traffic Stops in Missouri",Cambridge University Press / Journal of Race Ethnicity and Politics,2020-01-01,https://www.cambridge.org/core/journals/journal-of-race-ethnicity-and-politics/article/abs/fiscal-pressures-and-discriminatory-policing-evidence-from-traffic-stops-in-missouri/E474CA29F0C4BA915B551297F75AEB82,Academic research,yes,no,no,no,yes,no,no,yes,yes,no,Academic study linking municipal fiscal pressure to discriminatory traffic stops,Hispanic trends; immigration enforcement; 287(g)
"MU researchers confirm racial disparities in police traffic stops",KOMU,2021-06-01,https://www.komu.com/news/midmissourinews/mu-researchers-confirm-racial-disparities-in-police-traffic-stops/article_aad7fef1-f64d-5fdc-a971-d8774b6c1cff.html,VSR coverage,yes,no,no,no,yes,no,no,yes,yes,no,MU study confirming Black-white disparities in Columbia 2017-2019,Hispanic trends; statewide context; post-stop outcomes
"Police Keep Eyes on the Street and on Racial Disparity Data",Flatland KC,2020-02-13,https://flatlandkc.org/news-issues/police-keep-eyes-on-the-street-and-on-racial-disparity-data/,VSR coverage,yes,no,no,no,yes,no,no,yes,yes,no,Companion piece to Flatland investigation; agency responses to disparity data,Hispanic trends; immigration enforcement
"Missouri NAACP issues travel advisory",multiple outlets,2017-08-01,,Context,yes,no,no,no,no,no,no,yes,no,no,NAACP warns travelers about racial profiling in Missouri,Hispanic perspectives; traffic stop data
"Florida trooper's traffic stops raise questions about race reporting",WLRN,2026-03-05,https://www.wlrn.org/wlrn-investigations/2026-03-05/racial-profiling-hispanic-florida-highway-patrol-fhp-trooper,National investigation,no,yes,no,no,no,no,no,no,yes,no,Florida trooper targeting Hispanic drivers; race misclassification,Missouri-specific data; VSR
